hora,media
1,172.66666666666666
2,167.26666666666668
3,173.43333333333334
4,179.36666666666667
5,173.88888888888889
6,164.88888888888889
7,166.7
8,172.36666666666667
9,169.8658536585366
10,174.16666666666666
11,172.51666666666668
12,174.73333333333332
13,176.21666666666667
14,176.46666666666667
15,165.51666666666668
16,182.75
17,183.23333333333332
18,187.38333333333333
19,182.36666666666667
20,180.51666666666668
21,176.98333333333332
22,172.15
23,165.05
24,170.91666666666666
