data_ref,data_aloj,idade_sem,aves_ini,aves_atual,cap_max,mort_acum,taxa_mort_pct
29/12/2025,20/04/2025,36.14,220,198,240,5,2.27
05/01/2026,20/04/2025,37.14,220,192,240,11,5.0
12/01/2026,20/04/2025,38.14,220,189,240,14,6.36
19/01/2026,20/04/2025,39.14,220,175,240,28,12.73
26/01/2026,20/04/2025,40.14,220,171,240,32,14.55
02/02/2026,20/04/2025,41.14,220,169,240,34,15.45
09/02/2026,20/04/2025,42.14,220,166,240,37,16.82
16/02/2026,20/04/2025,43.14,220,159,240,42,19.09
23/02/2026,20/04/2025,44.14,220,158,240,43,19.55
02/03/2026,20/04/2025,45.14,220,153,240,47,21.36
09/03/2026,20/04/2025,46.14,220,151,240,49,22.27
16/03/2026,20/04/2025,47.14,220,143,240,55,25.0
23/03/2026,20/04/2025,48.14,220,139,240,58,26.36
30/03/2026,20/04/2025,49.14,220,137,240,60,27.27
