data,ovos_granja,ovos_escola
08/08/2026,212,191
09/08/2026,209,188
10/08/2026,216,194
11/08/2026,221,199
12/08/2026,218,196
13/08/2026,213,192
14/08/2026,207,186
15/08/2026,211,190
16/08/2026,214,193
17/08/2026,224,202
18/08/2026,219,197
19/08/2026,215,194
20/08/2026,217,195
21/08/2026,210,189
22/08/2026,220,198
23/08/2026,216,194
24/08/2026,213,192
25/08/2026,218,196
26/08/2026,222,200
27/08/2026,225,203
28/08/2026,217,195
29/08/2026,214,193
30/08/2026,219,197
31/08/2026,221,199
01/09/2026,226,203
02/09/2026,220,198
03/09/2026,215,194
04/09/2026,223,201
05/09/2026,218,196
06/09/2026,221,199
07/09/2026,216,194
08/09/2026,224,202
